hour,minute,tendance,last_ask,last_bid,first_bid,candle_body,high,low,spread,ask_median,bid_median,ask_volume_total,bid_volume_total,volume_total,bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_price6,bid_price7,bid_price8,bid_price9,bid_price10,bid_volume1,bid_volume2,bid_volume3,bid_volume4,bid_volume5,bid_volume6,bid_volume7,bid_volume8,bid_volume9,bid_volume10,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_price6,ask_price7,ask_price8,ask_price9,ask_price10,ask_volume1,ask_volume2,ask_volume3,ask_volume4,ask_volume5,ask_volume6,ask_volume7,ask_volume8,ask_volume9,ask_volume10
9,35,0,0.86271,0.86253,0.86287,-34,60,24,18,0.86279,0.86258,49.917191408746405,50.0828085912536,344377915,26,25,-34,-33,22,-35,-28,-32,18,-30,14000000,7666667,4825203,3760000,3548600,3442308,3420486,3401709,3275676,3137097,-42,-38,-40,-30,-27,-14,17,-34,18,15,10666667,9333333,8750000,3137500,3101293,2995068,2914251,2851064,2832326,2754221
9,36,1,0.86265,0.86257,0.86253,4,32,15,8,0.86269,0.86249,54.02887247470616,45.97112752529384,193853629,24,2,-3,-6,1,-4,4,-1,22,3,8416667,3077247,3006917,2911458,2759579,2756824,2750538,2725260,2698113,2688302,-24,-23,-21,-18,7,-19,12,-17,5,1,8500000,8400000,4000000,3285714,2963382,2941176,2940000,2892157,2867117,2838061
9,37,0,0.86229,0.86218,0.86257,-39,69,5,11,0.86255,0.86235,46.57724360097664,53.42275639902336,325561790,21,12,23,-20,-4,-29,-5,-43,-42,-33,9333333,7250000,7000000,3496581,3330311,3230382,3143275,3005600,3001634,2989043,1,2,0,-3,-4,-10,-5,-11,-32,-19,4171937,3507075,3457407,3316206,3236156,3144643,3107843,2938876,2937668,2917359
9,38,1,0.86237,0.86228,0.86218,10,33,25,9,0.86237,0.86218,51.45053469095874,48.54946530904126,227801963,-11,-9,-10,13,14,-8,-7,-6,-12,3,3232210,3165864,3059406,3044581,3041598,2973790,2918638,2916988,2898990,2857703,24,-8,-3,-13,17,14,2,13,-11,-22,3263158,3127955,3088588,2987878,2851604,2850324,2849569,2840943,2784698,2761905
9,39,1,0.86256,0.86242,0.86228,14,40,28,14,0.86254,0.86236,48.31356099483003,51.68643900516997,240721484,29,-6,-12,-13,-14,2,-9,-5,-7,3,8750000,4008499,3623932,3381443,3371795,3275223,3270968,3189076,3057522,2891459,-26,-19,21,18,20,16,15,11,12,-9,7000000,3285714,3222222,3135455,2991098,2971560,2940909,2900517,2733291,2614162
9,40,0,0.86235,0.86216,0.86242,-26,47,5,19,0.86247,0.86228,47.99216198807332,52.00783801192668,162556017,10,-24,1,-11,-23,-12,-8,-22,-9,-21,8000000,3450254,3110000,3044234,3031540,3005269,2895164,2840615,2798287,2793760,-26,-15,-24,-2,-1,-22,-12,0,-27,-10,3409091,2817175,2806452,2744337,2705341,2701613,2656964,2651452,2600000,2575000
9,41,1,0.86251,0.86241,0.86216,25,20,35,10,0.8624,0.86221,55.6104516624577,44.3895483375423,206971973,3,4,26,16,7,14,1,6,19,11,3593750,3419753,3193584,2958836,2872727,2814506,2774590,2738520,2600853,2544959,-10,-7,-4,1,25,13,11,27,2,12,7500000,4157895,3700935,3468107,3252252,3199597,3123180,3119672,3087838,3053463
9,42,0,0.86229,0.86213,0.86241,-28,46,11,16,0.86238,0.86224,52.61014327794346,47.38985672205654,199981723,-26,5,-12,-25,7,-24,-23,-17,-19,3,3101143,3076923,3026309,3012019,2972222,2896679,2816358,2765404,2764989,2761905,-30,-29,5,3,1,-11,-21,6,-8,-12,8000000,4250000,3750000,3280702,3273585,3266724,3023426,2890244,2798122,2745398
9,43,0,0.86222,0.86212,0.86213,-1,38,12,10,0.86228,0.86209,43.32919756011399,56.67080243988601,209515034,25,21,-12,-14,-9,-2,-3,-10,-13,12,16000000,7090909,3759542,3625000,3511111,3326357,3281719,3232143,3162651,3113684,-21,6,10,-13,7,9,-3,2,-2,5,7000000,3152749,3067901,2994685,2994220,2940972,2931855,2918029,2860362,2805272
9,44,1,0.86224,0.86216,0.86212,4,24,12,8,0.86227,0.86207,50.175472117372,49.824527882628,168860446,22,20,19,17,0,-1,1,2,4,5,7777778,7276596,5708333,4150538,4034299,3747409,3626045,3487662,3436265,3402197,-15,-13,-14,-1,2,-12,3,-10,5,0,10500000,7666667,7184211,3339706,3000000,3000000,2966622,2960000,2879093,2860648
9,45,1,0.86226,0.86217,0.86216,1,29,10,9,0.8623,0.8621,47.33224823362571,52.66775176637429,185439180,20,21,19,-2,1,-3,6,3,18,2,10500000,8400000,6500000,3994128,3565079,3538911,3313828,3226251,3220339,3194186,-18,-16,-17,2,6,1,8,0,7,5,7142857,7057143,4263158,3860399,3607955,3406764,3380000,3081617,3078035,3060472
