hour,minute,tendance,last_ask,last_bid,first_bid,candle_body,high,low,spread,ask_median,bid_median,ask_volume_total,bid_volume_total,volume_total,bid_price1,bid_price2,bid_price3,bid_price4,bid_price5,bid_price6,bid_price7,bid_price8,bid_price9,bid_price10,bid_volume1,bid_volume2,bid_volume3,bid_volume4,bid_volume5,bid_volume6,bid_volume7,bid_volume8,bid_volume9,bid_volume10,ask_price1,ask_price2,ask_price3,ask_price4,ask_price5,ask_price6,ask_price7,ask_price8,ask_price9,ask_price10,ask_volume1,ask_volume2,ask_volume3,ask_volume4,ask_volume5,ask_volume6,ask_volume7,ask_volume8,ask_volume9,ask_volume10
9,10,1,1.11435,1.11426,1.11407,19,23,28,9,1.11431,1.11415,50.980904577980056,49.01909542201994,323179346,2,26,25,11,23,24,28,22,16,6,9133596,8750000,7875000,7792715,7500000,7500000,7318182,7269231,6034490,5733796,-11,-13,-14,-10,-9,1,-8,-12,10,-5,10500000,9333333,8750000,7350000,7205882,7076939,7016667,7000000,6988983,6126761
9,11,0,1.11436,1.11426,1.11426,0,26,11,10,1.11438,1.11423,51.09676661631726,48.90323338368274,263199386,14,13,2,15,12,6,9,8,11,-7,10500000,8166667,7721614,7636364,7538462,7021970,6666667,6666667,6632911,5940994,2,-16,-13,-14,7,-10,-12,-11,-9,8,8247935,7500000,7437500,7333333,7287050,7241379,7233333,7212121,6897959,6702410
9,12,1,1.11453,1.11428,1.11426,2,57,27,25,1.11458,1.11443,48.05594246141696,51.944057538583046,463912015,13,10,8,9,7,-31,-5,4,6,-7,14000000,8166667,8166667,8000000,7500000,7235430,6956026,6948092,6827586,6437822,-29,10,8,-30,19,-2,1,-7,-17,-16,10500000,8791244,7836347,7636364,7192857,6810984,6696564,6206262,6190076,6010852
9,13,0,1.11436,1.1142,1.11428,-8,39,16,16,1.1144,1.11424,50.64234702156356,49.35765297843644,374413194,5,13,15,14,11,-4,-15,12,-10,9,9087172,7700000,7583333,7350000,7318182,7247600,7215417,7205882,6587212,6500000,11,-23,-7,-21,-20,-14,-18,-22,-17,-4,9667920,8166667,8110634,7437500,7411765,7398058,7218750,7000000,6487500,6452090
9,14,1,1.11452,1.1144,1.1142,20,27,32,12,1.11444,1.11428,48.558383063795056,51.441616936204944,339877701,35,16,34,25,32,5,7,31,18,20,10500000,8328871,7583333,7318333,7021739,6039394,5610714,5535714,5032558,5016068,27,7,12,22,9,-3,0,18,-8,-11,7901115,7483243,7355172,6449453,6334387,6076923,6004712,6003069,5166667,4733333
9,15,1,1.11455,1.11443,1.1144,3,56,15,12,1.11465,1.11441,49.531469017217,50.468530982783,227995061,3,-7,-2,8,-12,10,7,5,-5,4,6193466,5155896,4934864,4837209,4648585,4382979,4117318,4006329,3972841,3704164,-10,0,-5,3,5,-1,1,-15,-6,-11,6422189,5907306,5865896,5343877,5206913,3907227,3542581,3442308,3322518,3310995
9,16,0,1.11273,1.11265,1.11443,-178,410,52,8,1.11346,1.11323,47.95416198803256,52.04583801196744,1051156146,-165,-164,-157,-149,57,-163,-109,-175,-30,50,9333333,8400000,8250000,7500000,6046512,5800000,5600000,5318182,5004667,4633852,-182,-192,-56,32,-52,23,-186,-12,-3,6,7279070,7153846,6039010,4152056,4138846,4063552,4047619,4034738,4016101,3901768
9,17,0,1.11221,1.11212,1.11265,-53,99,17,9,1.11258,1.1124,49.64162033480679,50.35837966519321,680532613,-63,-28,23,-73,-10,-23,-3,-18,21,-54,6960446,6469749,6434783,5814724,5811212,5804412,5639881,5575149,5538462,5384875,6,-14,-4,-88,-24,-69,-90,-34,1,-79,8270898,7321596,7302885,7166667,6991314,6473201,6166667,6116861,6035111,5693182
9,18,1,1.11291,1.1128,1.11212,68,21,79,11,1.11258,1.11242,54.79914674641466,45.200853253585336,626434637,78,80,40,49,0,14,60,5,25,20,14000000,8500000,7180864,6505253,6278268,6268976,6079147,5909754,5594333,5592650,-9,1,56,-10,41,-8,11,-5,15,-6,14000000,10244186,9978058,9333333,9023214,8750000,7961474,7466667,7433049,7118644
9,19,0,1.113,1.1128,1.1128,0,25,57,20,1.11274,1.11258,54.20241324278454,45.79758675721546,503587624,40,52,51,49,25,23,5,35,30,50,9445212,7200000,7159091,7120690,7025620,6502015,6320735,6196739,6077228,5970588,-2,-4,50,30,1,24,-1,33,-3,5,14000000,14000000,11036364,8291253,7304348,7236050,7184211,7097526,7000000,6927245
9,20,1,1.11294,1.11286,1.1128,6,21,39,8,1.11281,1.11265,51.62207400855469,48.37792599144532,414793805,44,49,11,42,43,6,16,46,29,26,9333333,7875000,7354120,7205882,7000000,6686117,6105792,6102564,5987442,5590374,-13,-12,-1,18,-10,-9,14,9,-7,24,9333333,8400000,8048951,8007428,8000000,7411765,6842308,6813636,6666667,6458010
9,21,0,1.11283,1.11275,1.11286,-11,48,9,8,1.11299,1.11283,52.18674381175777,47.81325618824223,409575596,16,0,14,-20,11,13,12,5,-26,-25,8166667,7831485,7777778,7677947,7350000,7250000,7184211,6490031,6018049,5731535,-40,-35,-2,-28,-38,-37,-39,-32,-17,-34,14000000,9333333,8676433,8620769,7437500,7333333,7000000,6527778,6484731,6093750
9,22,0,1.11265,1.11255,1.11275,-20,42,31,10,1.11265,1.1125,49.53335152128041,50.46664847871959,491083461,-20,37,35,36,34,-2,33,24,10,25,11946108,9333333,8166667,7500000,7500000,7100493,6666667,6454472,6235102,6153030,24,-20,-31,-29,-32,-30,15,-27,-5,-21,10276582,8634848,7777778,7538462,7466667,7388889,7332573,7166667,6789474,6223944
9,23,1,1.11285,1.11278,1.11255,23,27,30,7,1.11283,1.11268,54.227110731296094,45.77288926870391,381098971,33,3,12,30,32,13,23,21,8,-2,14000000,7938153,6591335,6470588,6312500,5865758,5781319,5531056,5049719,5003972,-20,9,0,-18,-19,-16,-17,-15,-9,-14,9333333,9222192,8228421,7875000,7777778,7269231,7000000,6958333,6338579,6258065
9,24,0,1.11276,1.11268,1.11278,-10,36,8,8,1.11286,1.11272,56.83132822149719,43.16867177850281,319067739,12,14,-17,-7,2,13,11,-18,-9,3,7350000,7318182,7029060,6641492,6416667,6270833,6233871,5185526,5127168,5026385,-28,-23,-22,-26,0,-9,-27,-21,-25,-18,14000000,10500000,9333333,9333333,8380043,8242086,7875000,7538462,7538462,7212575
9,25,0,1.11255,1.11245,1.11268,-23,49,5,10,1.11271,1.11254,51.79906142544179,48.20093857455821,386528909,9,-30,8,-21,14,10,0,-12,-27,-25,8166667,7895000,7350000,7258901,7000000,6346154,6316049,6277635,5415758,5200000,-39,-21,-35,-36,-32,-12,-34,-31,-33,-10,8400000,8359524,7636364,7636364,7466667,7259441,7241379,7189189,7000000,6670492
9,26,1,1.11274,1.11263,1.11245,18,24,29,11,1.11268,1.11254,49.36679336086739,50.63320663913261,355317500,24,-3,28,25,32,27,13,6,-6,3,8000000,7878028,7583333,7500000,7000000,7000000,6345875,6230213,5910606,5867987,-2,-9,7,19,-8,-12,-11,-13,4,14,8344208,7583333,7557989,7490000,7466667,7411765,7200000,7088608,6851667,6819261
9,27,1,1.11278,1.11271,1.11263,8,34,15,7,1.11282,1.11265,43.38579288333528,56.61420711666472,294970760,22,23,19,20,21,5,18,-4,15,-10,14000000,8750000,7500000,7000000,7000000,6864205,6807692,6777698,6031532,5911111,2,-21,-7,-19,-2,8,-22,11,-9,-18,9492476,7777778,6544556,5722222,5547567,5206704,5176471,4479167,4287075,4280000
9,28,0,1.11259,1.11252,1.11271,-19,37,4,7,1.11271,1.11256,49.42086744526004,50.57913255473997,270546870,2,12,10,9,8,-17,-14,-18,-5,-8,8381503,7777778,7700000,7291667,7000000,5980000,5796930,5584360,5472824,4992379,-28,-17,-30,-27,-8,-24,-23,-21,-26,-11,8750000,8480867,8400000,8000000,5837912,5576923,5461538,5381356,5054054,4909250
9,29,0,1.11248,1.11237,1.11252,-15,37,4,11,1.11259,1.11244,49.86493348665039,50.13506651334961,218833664,8,7,-8,6,4,-13,2,1,-15,-6,8750000,7166667,6669051,5260870,5000000,4773795,4725490,4612245,4357870,4196660,-25,-22,-12,-2,-7,-24,-17,-19,-5,-8,7666667,6883721,6645477,5672199,5367869,5333333,4835227,4531250,4046922,3950000
9,30,1,1.11264,1.11242,1.11237,5,65,27,22,1.11262,1.11242,53.36758690458877,46.63241309541123,251908332,-13,20,7,2,-3,12,-8,-14,11,13,7875393,6416667,6205870,5799277,5602769,5046909,3807205,3577869,3252591,3153448,-6,-43,-1,-18,14,23,9,4,19,-3,11234783,8750000,8295550,7000000,6565217,5070690,3861468,3616607,3396246,3098641
9,31,0,1.1098,1.10963,1.11242,-279,455,29,17,1.1111,1.11073,53.09896295531369,46.90103704468631,973338192,-253,-221,26,-208,-22,22,-204,17,18,13,10000000,8285714,6559434,6000000,4767224,4612205,4166667,4147922,4145561,3961502,-333,-243,-280,-329,-322,-318,-240,20,-242,2,8166667,8000000,7111111,7000000,7000000,7000000,7000000,5391509,4666667,4443732
9,32,0,1.10922,1.10906,1.10963,-57,105,20,16,1.10956,1.10938,49.52171544447511,50.478284555524894,599847197,-79,-18,-9,6,-59,-34,-69,-4,1,17,8127438,7605304,7065447,6591968,6394477,5887373,5740494,5502731,5030534,4590909,-38,-3,6,-8,-18,-29,-87,2,-73,-13,7043160,6530026,6320867,6167920,5848385,5688701,5571429,5167692,5144200,5078452
9,33,0,1.10912,1.10892,1.10906,-14,37,48,20,1.10897,1.10878,49.882102021848006,50.117897978152,428798702,49,48,45,12,-18,2,44,-8,22,-5,8400000,7636364,6644444,6101479,5795679,5795197,5483871,5160884,4700099,4635710,-17,-16,-13,31,-15,-4,40,22,17,37,8166667,8142857,7809375,7451953,7437500,6041935,5743780,5445724,5009779,4831793
9,34,1,1.10931,1.10919,1.10892,27,41,39,12,1.10926,1.1091,51.48714873157556,48.51285126842444,452270298,42,4,-11,40,43,-5,-16,-1,13,22,9333333,7695539,7197119,7000000,7000000,5869326,5484854,5072352,4774684,4638183,-25,-27,-29,-26,-14,15,1,6,-20,11,15000000,8166667,7700000,7466667,7459340,6839742,6011469,5967223,5219689,5123893
9,35,0,1.10822,1.1081,1.10919,-109,132,20,12,1.10871,1.10854,50.036108959576616,49.96389104042338,947583381,-105,-87,21,-65,-35,23,22,-96,-60,-100,9774033,7738199,7583333,7582813,7460106,7304348,7280000,6932946,6719781,6508333,-118,-117,-68,-120,-59,-24,-88,-94,-33,-73,9333333,9333333,8426042,8400000,8128235,7758069,6671512,6654362,6611168,6448995
9,36,0,1.10819,1.10809,1.1081,-1,54,17,10,1.10831,1.10814,52.00278811297488,47.99721188702512,467002597,22,24,26,-21,23,9,20,21,-11,4,8750000,7388889,7368421,7191233,7109375,6766957,6666667,5906250,5661332,5652480,-42,-40,8,-39,-27,-38,-44,-41,-1,-37,9333333,8750000,8743799,7291667,7146215,7142857,7000000,7000000,6642907,6488889
9,37,0,1.10762,1.10739,1.10809,-70,91,14,23,1.10789,1.10773,50.999429264268365,49.00057073573164,618480639,5,-18,6,3,2,-62,-9,-41,1,-21,7636364,7270603,7142857,7095890,6669811,6412186,6379630,6311171,5835443,5787113,-67,-64,-49,-5,-65,4,-62,-61,-31,-60,14000000,8750000,7431904,7403975,7280000,6537502,6485294,6361111,6331811,5877551
9,38,1,1.10783,1.10773,1.10739,34,45,44,10,1.10783,1.10769,50.17874407174918,49.82125592825082,497547690,34,18,-17,38,28,-10,-7,3,8,-12,7166667,7067234,6928784,6808511,6643085,6541742,6297433,6088578,5882609,5801823,-35,-34,13,18,28,-19,-7,-10,-12,7,8750000,8555556,6612583,6434307,6398496,5539470,5460507,5301491,5294420,5181325
9,39,1,1.10807,1.10787,1.10773,14,41,45,20,1.10796,1.1078,50.397895015643705,49.602104984356295,492672545,-13,36,39,2,27,32,-3,37,-18,-8,7705911,7538462,7071429,7023776,6669094,6524444,6280029,6250000,6227754,5738871,-20,31,-21,-16,7,22,-8,-13,-4,2,8750000,8069955,7368421,7230769,6865905,6603639,6357273,6180328,5633981,5545283
